Offset: 5.75, Pitch: F4, Length: 1.25, Lyric: None
Offset: 5.75, Pitch: C#3, Length: 2.25, Lyric: None
Offset: 6.25, Pitch: C#4, Length: 1.0, Lyric: None
Offset: 6.666666666666667, Pitch: G#3, Length: 0.5, Lyric: None
Offset: 7.25, Pitch: G#4, Length: 0.75, Lyric: None
Offset: 8.0, Pitch: G#4, Length: 0.5, Lyric: None
Offset: 8.0, Pitch: C#3, Length: 6.0, Lyric: None
Offset: 8.333333333333334, Pitch: G#4, Length: 0.6666666666666666, Lyric: None
Offset: 8.666666666666666, Pitch: C#4, Length: 2.75, Lyric: None
Offset: 9.75, Pitch: G#4, Length: 1.6666666666666667, Lyric: None
Offset: 11.333333333333334, Pitch: G#4, Length: 0.6666666666666666, Lyric: None
Offset: 11.333333333333334, Pitch: F4, Length: 0.6666666666666666, Lyric: None
Offset: 14.0, Pitch: G#4, Length: 1.0833333333333333, Lyric: None
Offset: 14.0, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 14.333333333333334, Pitch: F4, Length: 0.6666666666666666, Lyric: None
Offset: 15.0, Pitch: G#4, Length: 1.0, Lyric: None
Offset: 15.75, Pitch: G#2, Length: 2.25, Lyric: None
Offset: 15.75, Pitch: F#4, Length: 2.0, Lyric: None
Offset: 16.75, Pitch: C#4, Length: 0.6666666666666666, Lyric: None
Offset: 17.333333333333332, Pitch: F4, Length: 0.6666666666666666, Lyric: None
Offset: 17.333333333333332, Pitch: C#4, Length: 0.6666666666666666, Lyric: None
Offset: 17.666666666666668, Pitch: G#3, Length: 0.3333333333333333, Lyric: None
Offset: 18.0, Pitch: G#3, Length: 4.0, Lyric: None
Offset: 18.0, Pitch: G#2, Length: 4.0, Lyric: None
Offset: 18.0, Pitch: F4, Length: 4.0, Lyric: None
Offset: 18.0, Pitch: C#4, Length: 4.0, Lyric: None
Offset: 22.0, Pitch: G#3, Length: 0.4166666666666667, Lyric: None
Offset: 22.0, Pitch: G#2, Length: 2.0, Lyric: None
Offset: 22.0, Pitch: F4, Length: 1.6666666666666667, Lyric: None
Offset: 22.0, Pitch: C#4, Length: 1.0833333333333333, Lyric: None
Offset: 23.75, Pitch: E-4, Length: 1.6666666666666667, Lyric: None
Offset: 24.0, Pitch: B2, Length: 2.0, Lyric: None
Offset: 24.0, Pitch: C#4, Length: 0.75, Lyric: None
Offset: 24.5, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 24.5, Pitch: E-3, Length: 0.5, Lyric: None
Offset: 24.75, Pitch: C#4, Length: 1.25, Lyric: None
Offset: 25.333333333333332, Pitch: F#4, Length: 0.6666666666666666, Lyric: None
Offset: 26.0, Pitch: F#3, Length: 0.25, Lyric: None
Offset: 26.0, Pitch: B2, Length: 2.0, Lyric: None
