Offset: 5.0, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 5.0, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 5.333333333333333, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 5.333333333333333, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 6.0, Pitch: C#4, Length: 1.0, Lyric: None
Offset: 7.0, Pitch: G#3, Length: 0.25, Lyric: None
Offset: 7.25, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 7.5, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 7.5, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 8.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 8.25, Pitch: B-3, Length: 0.3333333333333333, Lyric: None
Offset: 8.25, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 8.666666666666666, Pitch: B-3, Length: 0.3333333333333333, Lyric: None
Offset: 9.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 9.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 9.75, Pitch: B-3, Length: 1.0, Lyric: None
Offset: 11.0, Pitch: G#3, Length: 0.25, Lyric: None
Offset: 11.25, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 11.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 11.5, Pitch: B-3, Length: 0.25, Lyric: None
Offset: 12.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 12.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 13.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 13.0, Pitch: F4, Length: 0.25, Lyric: None
Offset: 13.5, Pitch: B-3, Length: 0.25, Lyric: None
Offset: 14.0, Pitch: B3, Length: 0.25, Lyric: None
Offset: 14.25, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 14.5, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 14.75, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 15.25, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 15.25, Pitch: G#3, Length: 0.3333333333333333, Lyric: None
Offset: 15.666666666666666, Pitch: B-3, Length: 0.3333333333333333, Lyric: None
Offset: 16.0, Pitch: G#3, Length: 1.3333333333333333, Lyric: None
Offset: 17.333333333333332, Pitch: G#3, Length: 0.3333333333333333, Lyric: None
Offset: 17.666666666666668, Pitch: B-3, Length: 0.75, Lyric: None
Offset: 18.5, Pitch: B3, Length: 0.25, Lyric: None
Offset: 18.75, Pitch: C#4, Length: 0.75, Lyric: None
Offset: 19.5, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 20.0, Pitch: B-3, Length: 0.75, Lyric: None
Offset: 21.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 21.25, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 21.5, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 21.666666666666668, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 22.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 22.25, Pitch: E-4, Length: 1.0, Lyric: None
Offset: 23.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 23.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 23.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 23.666666666666668, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 24.0, Pitch: E-4, Length: 0.4166666666666667, Lyric: None
Offset: 24.25, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 24.5, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 24.5, Pitch: F4, Length: 0.25, Lyric: None
Offset: 25.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 25.5, Pitch: C#4, Length: 2.25, Lyric: None
Offset: 28.5, Pitch: G#3, Length: 0.25, Lyric: None
Offset: 29.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 29.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 30.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 30.25, Pitch: F4, Length: 0.5, Lyric: None
Offset: 30.666666666666668, Pitch: B-3, Length: 0.75, Lyric: None
Offset: 31.5, Pitch: G#3, Length: 0.5, Lyric: None
Offset: 32.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 32.25, Pitch: F4, Length: 0.25, Lyric: None
Offset: 32.333333333333336, Pitch: B-3, Length: 0.3333333333333333, Lyric: None
Offset: 32.75, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 33.25, Pitch: G#3, Length: 0.25, Lyric: None
Offset: 33.5, Pitch: C#4, Length: 2.5, Lyric: None
Offset: 36.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 36.5, Pitch: G#3, Length: 0.25, Lyric: None
Offset: 36.5, Pitch: B-3, Length: 0.25, Lyric: None
Offset: 37.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 37.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 37.5, Pitch: F4, Length: 0.5, Lyric: None
Offset: 38.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 38.25, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 38.5, Pitch: F4, Length: 1.0, Lyric: None
Offset: 39.333333333333336, Pitch: F4, Length: 0.6666666666666666, Lyric: None
Offset: 40.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 40.0, Pitch: F4, Length: 0.25, Lyric: None
Offset: 40.0, Pitch: F4, Length: 0.08333333333333333, Lyric: None
Offset: 40.5, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 40.75, Pitch: C#4, Length: 0.75, Lyric: None
Offset: 41.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 41.666666666666664, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 42.333333333333336, Pitch: F4, Length: 1.6666666666666667, Lyric: None
Offset: 44.0, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 44.5, Pitch: G#3, Length: 0.5, Lyric: None
Offset: 45.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 45.5, Pitch: E-4, Length: 0.6666666666666666, Lyric: None
Offset: 46.0, Pitch: F4, Length: 0.25, Lyric: None
Offset: 46.5, Pitch: F#4, Length: 0.5, Lyric: None
Offset: 47.0, Pitch: F4, Length: 0.5, Lyric: None
Offset: 47.333333333333336, Pitch: F#4, Length: 0.3333333333333333, Lyric: None
Offset: 48.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 48.5, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 48.75, Pitch: C#4, Length: 0.75, Lyric: None
Offset: 49.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 49.666666666666664, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 50.5, Pitch: B-3, Length: 1.5, Lyric: None
Offset: 52.0, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 52.333333333333336, Pitch: G#3, Length: 0.6666666666666666, Lyric: None
Offset: 53.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 53.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 54.0, Pitch: F4, Length: 0.25, Lyric: None
Offset: 54.5, Pitch: F#4, Length: 0.5, Lyric: None
Offset: 55.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 55.25, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 55.5, Pitch: F#4, Length: 0.5, Lyric: None
Offset: 56.0, Pitch: F4, Length: 0.5, Lyric: None
Offset: 56.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 57.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 57.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 57.666666666666664, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 58.5, Pitch: B-3, Length: 1.0, Lyric: None
Offset: 59.333333333333336, Pitch: G#3, Length: 0.3333333333333333, Lyric: None
Offset: 60.0, Pitch: F4, Length: 0.5, Lyric: None
Offset: 60.5, Pitch: F#4, Length: 0.5, Lyric: None
Offset: 61.0, Pitch: F4, Length: 0.5, Lyric: None
Offset: 61.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 62.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 62.5, Pitch: E-4, Length: 0.6666666666666666, Lyric: None
Offset: 62.75, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 63.0, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 64.0, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 64.33333333333333, Pitch: C#4, Length: 0.6666666666666666, Lyric: None
Offset: 65.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 65.5, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 65.66666666666667, Pitch: F4, Length: 0.75, Lyric: None
Offset: 66.5, Pitch: E4, Length: 0.25, Lyric: None
Offset: 66.5, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 67.5, Pitch: G#3, Length: 0.25, Lyric: None
Offset: 68.0, Pitch: F4, Length: 0.5, Lyric: None
Offset: 68.5, Pitch: F#4, Length: 0.5, Lyric: None
Offset: 69.0, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 69.0, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 69.33333333333333, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 69.75, Pitch: C#4, Length: 0.6666666666666666, Lyric: None
Offset: 70.33333333333333, Pitch: B-3, Length: 0.3333333333333333, Lyric: None
Offset: 71.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 71.33333333333333, Pitch: B-3, Length: 0.6666666666666666, Lyric: None
Offset: 72.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 72.0, Pitch: B-3, Length: 0.3333333333333333, Lyric: None
Offset: 72.5, Pitch: B-3, Length: 0.5, Lyric: None
Offset: 73.0, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 73.33333333333333, Pitch: E-4, Length: 0.6666666666666666, Lyric: None
Offset: 74.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 74.25, Pitch: F4, Length: 0.5, Lyric: None
Offset: 74.66666666666667, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 75.0, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 76.0, Pitch: G#4, Length: 0.5, Lyric: None
Offset: 76.5, Pitch: F4, Length: 0.5, Lyric: None
Offset: 77.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 77.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 77.5, Pitch: C#4, Length: 0.75, Lyric: None
Offset: 78.33333333333333, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 78.66666666666667, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 79.25, Pitch: F4, Length: 0.25, Lyric: None
Offset: 79.5, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 80.0, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 80.5, Pitch: F4, Length: 0.5, Lyric: None
Offset: 81.0, Pitch: E-4, Length: 0.75, Lyric: None
Offset: 81.66666666666667, Pitch: C#4, Length: 2.0, Lyric: None
Offset: 83.75, Pitch: F#4, Length: 0.25, Lyric: None
Offset: 84.0, Pitch: G#4, Length: 0.25, Lyric: None
Offset: 84.0, Pitch: F#4, Length: 0.08333333333333333, Lyric: None
Offset: 84.5, Pitch: F4, Length: 0.5, Lyric: None
Offset: 85.0, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 85.0, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 85.33333333333333, Pitch: C#4, Length: 0.6666666666666666, Lyric: None
Offset: 86.0, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 86.0, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 86.33333333333333, Pitch: F4, Length: 0.5, Lyric: None
Offset: 86.75, Pitch: C#4, Length: 0.75, Lyric: None
Offset: 87.5, Pitch: C#4, Length: 0.5, Lyric: None
Offset: 88.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 88.25, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 88.25, Pitch: F4, Length: 0.25, Lyric: None
Offset: 88.75, Pitch: E-4, Length: 0.3333333333333333, Lyric: None
Offset: 89.0, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 89.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 89.5, Pitch: E-4, Length: 0.25, Lyric: None
Offset: 90.0, Pitch: C#4, Length: 1.5, Lyric: None
Offset: 91.5, Pitch: C#4, Length: 0.25, Lyric: None
Offset: 92.0, Pitch: G#4, Length: 0.5, Lyric: None
Offset: 92.33333333333333, Pitch: F4, Length: 0.3333333333333333, Lyric: None
Offset: 92.66666666666667, Pitch: E-4, Length: 0.5, Lyric: None
Offset: 93.25, Pitch: F4, Length: 0.25, Lyric: None
Offset: 93.33333333333333, Pitch: C#4, Length: 0.3333333333333333, Lyric: None
Offset: 93.66666666666667, Pitch: E-4, Length: 0.6666666666666666, Lyric: None
Offset: 94.25, Pitch: C#4, Length: 0.75, Lyric: None
